name,altname,description
wet,rainy, The wet season is the time of year where the majority of a country's or region's annual precipitation occurs
dry,,The dry season is a yearly period of low rainfall
kharif, monsoon, Term used in south Asia for the rainy/summer season (Julyâ€“October)
rabi,, Term used in south Asia for the dry/winter season (October-March)
aman,,Term used in south Asia (Bangladesh) for the wet season rice crop
boro,,Term used in south Asia (Bangladesh) for the dry season rice crop
short rains,,the long rainy season (in a region with two rainy seasons)
long rains,,the short rainy season (in a region with two rainy seasons)
early wet,,early part of the wet season
late wet,,late part of the wet season
